Item Number,Vendor,Description,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,Mandatory,,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
100M-12FM4-PFF-APC-B-K8,Proficium,OM4 12F MTP F-F APC Type B 100M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,166.45",Eaches,100M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 110M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,483.10",Eaches,110M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
115M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 115M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,640.90",Eaches,115M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 180M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$5,698.00",Eaches,180M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 200M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$6,332.00",Eaches,200M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 230M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,130.00",Eaches,230M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 240M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,440.00",Eaches,240M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
250M-12FM4-APC-PFF-B-K8,Proficium,OM4 12F MTP F-F APC Type B 250M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$7,750.00",Eaches,250M-12FM4-APC-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
120M-12FM4-PFF-APC-B-K8,Proficium,OM4 12F MTP F-F APC Type B 120M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$3,799.74",Eaches,120M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
130M-12FM4-PFF-APC-B-K8,Proficium,OM4 12F MTP F-F APC Type B 130M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$4,115.80",Eaches,130M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
135M-12FM4-PFF-APC-B-K8,Proficium,OM4 12F MTP F-F APC Type B 135M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$4,398.00",Eaches,135M-12FM4-PFF-APC-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
15M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 15M,Cabling,Jon,Swapnil Kale,Inventory,No,$26.63,Eaches,15M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
10M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 10M,Cabling,Jon,Swapnil Kale,Inventory,No,$19.95,Eaches,10M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
20M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 20M,Cabling,Jon,Swapnil Kale,Inventory,No,$33.31,Eaches,20M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
30M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 30M,Cabling,Jon,Swapnil Kale,Inventory,No,$46.66,Eaches,30M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
70M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 70M,Cabling,Jon,Swapnil Kale,Inventory,No,$111.44,Eaches,70M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
50M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 50M,Cabling,Jon,Swapnil Kale,Inventory,No,$79.96,Eaches,50M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-12FM4-PFF-APC-B,Proficium,OM4 12F MTP F-F APC Type B 25M,Cabling,Jon,Swapnil Kale,Inventory,No,$39.98,Eaches,25M-12FM4-PFF-APC-B,Proficium,,,,,,,,,,,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-OFF-B,Proficium,OS2 12F MPO F-F Type B 100M,Cabling,Jon,Swapnil Kale,Inventory,No,$223.22,Eaches,100M-12FSM-OFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 100M,Cabling,Jon,Swapnil Kale,Inventory,No,$223.22,Eaches,100M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 110M,Cabling,Jon,Swapnil Kale,Inventory,No,$245.54,Eaches,110M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
115M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 115M,Cabling,Jon,Swapnil Kale,Inventory,No,$256.70,Eaches,115M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
180M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 180M,Cabling,Jon,Swapnil Kale,Inventory,No,$401.79,Eaches,180M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
200M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 200M,Cabling,Jon,Swapnil Kale,Inventory,No,$446.00,Eaches,200M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 100M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,$964.53,Eaches,100M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
230M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 230M,Cabling,Jon,Swapnil Kale,Inventory,No,$512.90,Eaches,230M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
240M-12FSM-PFF-B,Proficium,OS2 12F MTP F-F Type B 240M,Cabling,Jon,Swapnil Kale,Inventory,No,$535.20,Eaches,240M-12FSM-PFF-B,Proficium,,14,,,,28,16,21 Inches,21 Inches,14 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
100M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 100M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,$964.53,Eaches,100M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
110M-12FSM-PFF-B-K8,Proficium,OS2 12F MTP F-F Type B 110M Bundle,Cabling,Jon,Swapnil Kale,Inventory,No,"$1,060.99",Eaches,110M-12FSM-PFF-B-K8,Proficium,,14,,,,1,6,37 Inches,19 Inches,21 Inches,,,EAR99,8544.70.0000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
