Item Number,Vendor,Description,Category,Buyer,Planner,Item Type,Serialized (Y/N),Price,Unit of Measure,Manufacturers Part Number (MPN),Vendor,Vendor Part Number,Lead Time (Calendar Days),Handling Time (Logistics LT),Safety Stock,Minimum Order Quantity,Quantity per Carton,Cartons per Pallet,Carton Length,Carton Width,Carton Height,Carton Weight,Carton Dimensional Weight,ECCN,HTS,Costing Method,FA Type,Asset Account,GPU (Y/N),GPU Type,CPU Type,GPU Chip Count,GPU Core Count,RAM (Bytes),Local SSD (Y/N),SSD (Bytes),Local Disk (Y/N),Disk (Bytes),Network Interface Card (NIC) Count,Max Power Consumption (Watts)
String,String,String,List,,,List,List,Currency,List,String,List,String,Number,,Number,Number,,,,,,,,,,List,List,List,Boolean,String,String,Number,Number,Number,Boolean,Number,Boolean,Number,Number,Number
Mandatory,Mandatory,,Mandatory,,,,Mandatory,,Mandatory,Mandatory,,,Mandatory,,,,,,,,,,,,,Mandatory,,Mandatory,,,,,,,,,,,,
QSFP-DD-400G-DR4-M,FS,PROFICIUM 400G OPTIC,Transceiver,Jon Merendino,Swapnil Kale,Inventory,No,$695.00,Eaches,QSFP-DD-400G-DR4-M,FS,QSFP-DD-400G-DR4-M,,,,,,,,,,,,,,Average,Transceivers and Optics,144502,,,,,,,,,,,,
N3K-C3164Q-40GE,Cisco,Cisco N3K-C3164Q-40GE Nexus 3100 Series 3164Q 64-Port 40G QSFP+ Switch,Network Switches,Jon Merendino,Brittany Ola'Dehinbo,Inventory,Yes,$350.00,Eaches,N3K-C3164Q-40GE,Cisco,N3K-C3164Q-40GE,,,,,,,,,,,,,,Specific,Switches,144502,,,,,,,,,,,,
Grbatty,Amazon,Grbatty Rechargeable Batteries,Consumables and Misc.,Jon Merendino,Jon Merendino,Inventory,No,$19.99,Eaches,,,,,,,,,,,,,,,,,Average,Network Communication,144502,,,,,,,,,,,,
797-YUFETB+P3CMI36,NVIDIA Corporation,NVIDIA UFM Ent Subscription SW with Business Critical for 1K+ InfiniBand Adapters (HCAs) - 36.0 Months,License,Brittany Ola'Dehinbo,Brittany Ola'Dehinbo,Non-Inventory Item,No,$94.00,Eaches,797-YUFETB+P3CMI36,NVIDIA Corporation,797-YUFETB+P3CMI36,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
MTM 5149-F48,IBM Corporation,"IBM SSS 6000 Model F48 (All NVME) 7 PB Usable Capacity
Configuration Includes:
2 x IBM Management Servers
2 x IBM Protocol Servers
2 x IBM AFM Servers
2 x IBM Token Servers",Storage Server / Chassis,Swapnil Kale,Swapnil Kale,Inventory,Yes,"$555,357.00",Eaches,5149-F48,IBM Corporation,5149-F48,,,,,,,,,,,,,8471.49.0000,Specific,Configured Storage Server,144502,,,,,,,,,,,,
IBM Storage Scale Software Licenses,IBM Corporation,IBM Storage Scale Software Licenses,License,Swapnil Kale,Swapnil Kale,Non-Inventory Item,No,$0.00,Eaches,IBM Storage Scale Software Licenses,IBM Corporation,IBM Storage Scale Software Licenses,,,,,,,,,,,,,,Specific,Configured Storage Server,131000,,,,,,,,,,,,
GPU-GB200-L11-01,Dell Financial Services LLC,"GPU-GB200-L11-01 | Single Rack GB200 NVL72 featuring Dell Server 9712A and ""Archer"" rack Infrastructure
Compute:
18x Dell Server 9712a Server Node Containing:
-2x ""Bianca"" GB200 HPM (1 Grace CPU, 2 Blackwell GPU each)
-2x ConnectX-7 internal mezz cards (2x CX7 per mezz for 1:1 IB to GPU ratio)
-1x NVIDIA BlueField-3 B3220
-1x PCIe Switch Assy
-1x HMC module
-8x E1.S Micron 7450 Read Intensive 3.84 TB Gen 4 NVMe Drives

NVLink Infrastructure
9x GB200-NVLINK-SW | 920-9K36W-00MV-GS0 - NVIDIA Quantum-3, NVLink Tray Solution, 1U, with 144 NVLink5 Internal Ports
4x Cable Cartridges (Backplane)

Rack Infrastructure
1x Dell ""Archer"" enhanced ORv3 rack (DLC manifolds, bus bar, blanks, etc)
8x PS-1OU-01 | Delta - 33kW power shelves 1 x 60a input
1x CDU-4RU-02 | Vertiv In-Rack CDU XDU100 & manifold connection hose/hardware
1x CDU-IPSL-01 | Vertiv ADX - IPSL104-400 Redfish Appliance & ADX - IPPS power supply for redfish
3x MSN2201-CSMRC | NVIDIA Spectrum based 1GbE/100GbE 1U Open Ethernet switch with Cumulus Linux, 48 RJ45 ports and 4 QSFP28 ports, x86 CPU, Busbar​ powered
2x Vertiv UI30024 PDU & power whip FSC3U001",GPU Server / Chassis,Sekou Sako,Sekou Sako,Inventory,Yes,"$3,592,000.00",Eaches,GB200 NVL72,Dell Financial Services LLC,GB200 NVL72,,,,,,,,,,,,,,Specific,Configured GPU Server - GB200,144502,,,,,,,,,,,,
GPU-GB200-L11-02,Dell Financial Services LLC,"GPU-GB200-L11-02 | Single Rack GB200 NVL72 featuring Dell Server 9712A and ""Archer"" rack Infrastructure
Compute:
18x Dell Server 9712a Server Node Containing:
-2x ""Bianca"" GB200 HPM (1 Grace CPU, 2 Blackwell GPU each)
-2x ConnectX-8 internal mezz cards
-1x NVIDIA BlueField-3 B3220
-1x PCIe Switch Assy
-1x HMC module
-8x E.1 7.68TB SSD NVMe Drives

NVLink Infrastructure
9x GB200-NVLINK-SW | 920-9K36W-00MV-GS0 - NVIDIA Quantum-3, NVLink Tray Solution, 1U, with 144 NVLink5 Internal Ports
4x Cable Cartridges (Backplane)

Rack Infrastructure
1x Dell ""Archer"" enhanced ORv3 rack (DLC manifolds, bus bar, blanks, etc)
8x PS-1OU-01 | Delta - 33kW power shelves 1 x 60a input
1x CDU-4RU-02 | Vertiv In-Rack CDU XDU100 & manifold connection hose/hardware
2x MSN2201-CSMRC | NVIDIA Spectrum based 1GbE/100GbE 1U Open Ethernet switch with Cumulus Linux, 48 RJ45 ports and 4 QSFP28 ports, x86 CPU, Busbar​ powered
2x Vertiv UI30024 PDU & power whip FSC3U001
4x MMS1V70-CM TOR QSFP Tranceivers",GPU Server / Chassis,Sekou Sako,Sekou Sako,Inventory,Yes,"$3,710,000.00",Eaches,GB200 NVL72,Dell Financial Services LLC,GB200 NVL72,,,,,,,,,,,,,,Specific,Configured GPU Server - GB200,144502,,,,,,,,,,,,
PS-1OU-01,Delta Electronics Americas LTD,3kW power shelves 1 x 60a input,Consumables and Misc.,,Sekou Sako,Inventory,No,,Eaches,ECD68000060,,,,,,,,,,,,,,,,Average,Machinery and Equipment,144502,,,,,,,,,,,,
CDU-4RU-01,Super Micro,,Machinery and Equipment,Jon Merendino,Sekou Sako,Inventory,No,,Eaches,CDU-4RU-01,Super Micro,CDU-4RU-01,,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
CDU-4RU-02,Vertiv,Vertiv In-Rack CDU XDU100,Machinery and Equipment,Jon Merendino,Jon Merendino,Inventory,No,"$39,024.00",Eaches,XDU100,Vertiv,XDU100,,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
CDU-IPSL-01,Vertiv,Vertiv ADX - IPSL104-400 Redfish Appliance & ADX - IPPS power supply for redfish,Machinery and Equipment,Jon Merendino,Jon Merendino,Inventory,No,,Eaches,CDU-IPSL-01,Vertiv,CDU-IPSL-01,,,,,,,,,,,,,,Average,Machinery & Equipment - Non-Computing,144502,,,,,,,,,,,,
MFP7E10-N050,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 50m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$80.00,Eaches,MFP7E10-N050,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N010,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 10m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$41.00,Eaches,MFP7E10-N010,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N015,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 15m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$47.00,Eaches,MFP7E10-N015,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N007,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 7m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$39.00,Eaches,MFP7E10-N007,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N005,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 5m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$35.00,Eaches,MFP7E10-N005,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N003,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 3m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$33.00,Eaches,980-9I73U-000003,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MFP7E10-N01.5M,NVIDIA Corporation,"NVIDIA passive fiber cable, MMF , MPO12 APC to MPO12 APC, 1.5m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$18.00,Eaches,MFP7E10-N01.5M,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MCA7J75-N005,NVIDIA Corporation,"NVIDIA Active copper splitter cable, IB twin port NDR 800Gb/s to 4x200Gb /s, OSFP to 4xQSFP112, 5m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,"$1,146.00",Eaches,MCA7J75-N005,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
MCA7J60-N005,NVIDIA Corporation,"NVIDIA active copper Splitter cable, IB twin port NDR 800Gb/s to 2x400Gb/s,OSFP to 2xOSFP, 5m",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$982.00,Eaches,MCA7J60-N005,NVIDIA Corporation,,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
V-1263-1,Voltive,18/2 Shielded Plenum Low Voltage Wire,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$198.00,Eaches,V-1263-1,Voltive,V-1263-1,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
ACC-KIT000745,NVIDIA Corporation,Mellanox / Nvidia ACC-KIT000745 MSN2700 PWR-Cable fixation kit / clip,Consumables and Misc.,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$12.37,Eaches,ACC-KIT000745,NVIDIA Corporation,,,,,,,,,,,,,,,Average,Network Communication,144500,,,,,,,,,,,,
RXL-1023-BK110,RXL,"Stringer Radius Drop, 1.5″ Stringer, 10″ Wide, Black, 3 Spools",Consumables and Misc.,,,Non-Inventory Item,No,,Eaches,RXL-1023-BK110,RXL,RXL-1023-BK110,,,,,,,,,,,,,,Average,Network Communication,144500,,,,,,,,,,,,
LB-MPO-OM32,Amazon,MTP/MPO Fiber Optic Loopback Test Cable for Multimode OM3 OM4 OM5,Consumables and Misc.,,,Non-Inventory Item,No,$39.99,Eaches,LB-MPO-OM32,Amazon,LB-MPO-OM32,,,,,,,,,,,,,,Average,Network Communication,144500,,,,,,,,,,,,
MTEF-KIT-M-TL,NVIDIA Corporation,SN2201 Tool-Less Rail Kit,Consumables and Misc.,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,,Eaches,930-9NRKT-00JS-000,,930-9NRKT-00JS-000,,,,,,,,,,,,,,Average,Network Communication,144500,,,,,,,,,,,,
1M-8FSM-PF8,FS,"1m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$57.00,Eaches,68048,FS,68048,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
2M-8FSM-PF8,FS,"2m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$58.00,Eaches,69021,FS,69021,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
5M-8FSM-PF8,FS,"5m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$63.00,Eaches,68060,FS,68060,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
6M-8FSM-PF8,FS,"6m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$62.40,Eaches,8FMTPLCSMF,FS,8FMTPLCSMF,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
3M-8FSM-PF8,FS,"3m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$59.00,Eaches,68054,FS,68054,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
25M-8FSM-PF8,FS,"25m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$81.66,Eaches,25M-8FSM-PF8,FS,25M-8FSM-PF8,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
38M-8FSM-PF8,FS,"38m MTP Harness, MTP-8 APC to 4 LC UPC Duplex, 8 Fibers, Single Mode",Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$89.24,Eaches,68054,FS,68054,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
UACC-CM-RJ45-MG,Ubiquiti,SFP+ to RJ45 Adapter,Optic,Jon Merendino,Brittany Ola'Dehinbo,Inventory,No,$65.00,Eaches,UACC-CM-RJ45-MG,Ubiquiti,UACC-CM-RJ45-MG,,,,,,,,,,,,,,Average,Transceivers and Optics,144502,,,,,,,,,,,,
UACC-OM-MM-10G-D,Ubiquiti,10G Multi-Mode Optical Module,Transceiver,Jon Merendino,Brittany Ola'Dehinbo,Inventory,No,$20.00,Eaches,UACC-OM-MM-10G-D,Ubiquiti,UACC-OM-MM-10G-D,,,,,,,,,,,,,,Average,Transceivers and Optics,144502,,,,,,,,,,,,
D9N54A,HPE,HP 17.3kVA 208 V Three Phase 27 Outlet NA/JP Monitored Power Distribution Unit,PDUs,Jon Merendino,Jon Merendino,Inventory,No,$358.70,Eaches,D9N54A,HPE,D9N54A,,,,,,,,,,,,,,Average,UPS-PDUs,144502,,,,,,,,,,,,
VP5N30AS,Vertiv,30 AMP – 240/415 WYE – 17.2 KW,PDUs,Jon Merendino,Jon Merendino,Inventory,No,"$1,480.26",Eaches,MNS5MGW1-36CF13-3PS56B0A10-S-A,Vertiv,VP5N30AS,,,,,,,,,,,,,,Average,UPS-PDUs,144502,,,,,,,,,,,,
CDU-SC-01,Vertiv,"XDU070A0K31020 ""XDU070 without FD83"" Containing:
1.1 AC00006-10 ""WATER DETECTION 10M"" Qty 1
1.2 AC00048-53 ""HOSE SET 9.8FT (3.0M) 1.5"""" SANITARY FLANGE"" Qty 1
1.3 WI-10HR4 ""Warranty Inspection"" Qty 1
1.4 1WLTHERMLAB-H-EBS ""WarrantyLaborLWCoverageH"" Qty 1
1.5 VRTLC-L2 ""L2 - Delivery, QA/QC, Installation Assembly"" Qty 1
1.6 VRTLC-L3 ""L3 - Start-up and Site Acceptance Testing"" Qty 1
1.7 XDU2PW ""2nd year parts warranty"" Qty 1
1.8 XDU070YM ""1PM BASIC 8X5 XDU070"" Qty 1
1.9 XDU070YK ""2PM ESSENTIAL XDU070"" Qty 1
1.10 THERMCXL2 ""Cx Level 2 & Support for Site Acceptance Inspection"" Qty 1
1.11 THERMCXL3 ""Cx Level 3 & Support for Start-up"" Qty 1
1.12 PROJMGMT_LGPROJ ""Large Project Project Management"" Qty 1",CDU,Jon Merendino,Jon Merendino,Inventory,Yes,"$90,570.09",Eaches,XDU070A0K31020,Vertiv,XDU070A0K31020,84,,,,,,,,,,,,,Specific,Cabinets-Cages-Security,144502,,,,,,,,,,,,
FPR4245-NGFW-K9,Cisco,"Cisco Secure Firewall 4245 NGFW Appliance, 1U, 2xNetMod Bays",IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$73,987.53",Eaches,FPR4245-NGFW-K9,Myriad 360,FPR4245-NGFW-K9,21,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
CON-SNT-FPR424NW ,Cisco,SNTC-8X5XNBD Cisco Secure Firewall 4245 NGFW Appliance,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$21,875.44",Eaches,CON-SNT-FPR424NW,Myriad 360,CON-SNT-FPR424NW,21,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
FPR4245-P ,Cisco,Cloud Management for FPR 4245 ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4245-P ,Myriad 360,FPR4245-P ,21,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
L-FPR4245-P-3Y ,Cisco,Cloud Management for FPR 4245 3YR Subscrip. Term: 36 months,License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$4,396.96",Eaches,L-FPR4245-P-3Y ,Myriad 360,L-FPR4245-P-3Y ,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
FPR4200-PWR-AC,Cisco,Cisco Secure Firewall 4200 Series AC Power Supply ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-PWR-AC,Myriad 360,FPR4200-PWR-AC,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
PWR-CAB-AC-USA ,Cisco,Power Cord for AC V2 Power Module (USA),IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,PWR-CAB-AC-USA ,Myriad 360,PWR-CAB-AC-USA ,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
SF-F4K-TD7.4-K9,Cisco,Cisco Secure Firewall TD 7.4 SW for 4200 series appliances,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,SF-F4K-TD7.4-K9,Myriad 360,SF-F4K-TD7.4-K9,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
FPR4200-SSD1800 ,Cisco,Cisco Secure Firewall 4200 Series 1.8TB SSD,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-SSD1800 ,Myriad 360,FPR4200-SSD1800 ,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
FPR4200-SLD-RAILS ,Cisco,Cisco Secure Firewall 4200 Slide Rail Kit ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-SLD-RAILS ,Myriad 360,FPR4200-SLD-RAILS ,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
CAB-CONS-RJ45-DB9 ,Cisco,Console Cable 6ft with RJ45 and DB9F ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,CAB-CONS-RJ45-DB9 ,Myriad 360,CAB-CONS-RJ45-DB9 ,,,,,,,,,,,,,,Average,Computer Equipment,144500,,,,,,,,,,,,
FPR4245-BSE ,Cisco,Cisco Secure Firewall 4245 Base License,License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4245-BSE ,Myriad 360,FPR4245-BSE ,,,,,,,,,,,,,,Average,Capitalized Software,144500,,,,,,,,,,,,
FPR4200-PWR-AC ,Cisco,Cisco Secure Firewall 4200 Series AC Power Supply ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-PWR-AC ,Myriad 360,FPR4200-PWR-AC ,,,,,,,,,,,,,,,Computer Equipment,144500,,,,,,,,,,,,
FPR4200-FAN ,Cisco,Cisco Secure Firewall 4200 Series Fan ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-FAN ,Myriad 360,FPR4200-FAN ,,,,,,,,,,,,,,,Computer Equipment,144500,,,,,,,,,,,,
FPR4200-NM-BLANK ,Cisco,Cisco Secure Firewall 4200 Network Module Blank Slot Cover,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4200-NM-BLANK ,Myriad 360,FPR4200-NM-BLANK ,,,,,,,,,,,,,,,Computer Equipment,144500,,,,,,,,,,,,
FPR4K-EXCLUDE-SUBS,Cisco,Cisco Firepower 4000 Series - Exclude Subscriptions ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,FPR4K-EXCLUDE-SUBS,Myriad 360,FPR4K-EXCLUDE-SUBS,,,,,,,,,,,,,,,Computer Equipment,144500,,,,,,,,,,,,
FPR4K-XNM-2X400G,Cisco,Cisco Secure Firewall 4200 2X400G QSFP+ Netmod ,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$7,901.71",Eaches,FPR4K-XNM-2X400G= ,Myriad 360,FPR4K-XNM-2X400G= ,,,,,,,,,,,,,,,Computer Equipment,144500,,,,,,,,,,,,
CON-SNC-FPR4KXNG,Cisco,SNTC-NCD Cisco Secure Firewall 4200 2X400G QSFP+ Term: 36 months,IT Infrastructure,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$1,088.64",Eaches,CON-SNC-FPR4KXNG,Myriad 360,CON-SNC-FPR4KXNG,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
L-AC-APX-LIC= ,Cisco,"Secure Client Premier Term License, Total Unique Users",License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,L-AC-APX-LIC= ,Myriad 360,L-AC-APX-LIC= ,,,,,,,,,,,,,,Average,Capitalized Software,144500,,,,,,,,,,,,
L-AC-APX-3Y-S2 ,Cisco,"Cisco AnyConnect Apex License, 3YR, 100-249 Users Term: 36 months",License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,$5.25,Eaches,L-AC-APX-3Y-S2 ,Myriad 360,L-AC-APX-3Y-S2 ,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
CDO-SEC-SUB ,Cisco,Cloud Management for Firewall and Multicloud Defense Sub - Term: 36 months,License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,CDO-SEC-SUB ,Myriad 360,CDO-SEC-SUB ,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
SVS-CDO-SUP-B ,Cisco,Basic Online Support for Cloud-delivered Firewall Management - Term: 36 months,License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,$0.00,Eaches,SVS-CDO-SUP-B ,Myriad 360,SVS-CDO-SUP-B ,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
CDO-BASE-LIC ,Cisco,Cloud Management for Firewall and Multicloud defense Tenant - Term: 36 months - $632.81 Per Instance/year,License,,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$1,898.45",Eaches,CDO-BASE-LIC ,Myriad 360,CDO-BASE-LIC ,,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
PX4-5851-E7V2,Myriad 360,"PX4-5851-E7V2 3PH, 415V, 30A (derated to 24A), 36
Outlets: 18 x Locking C13, 18 x Locking
Cx, Input: NEMA L22-30P, 0U, 17.3kVA,
6 x 10kAIC breakers, Outlet Metered
and Switched, iX controller with 2 x
10/100/1000 ETH port, 2 x USB-A, 1 x
USB-B, RJ-45 Sensor and PDU Lin",PDUs,Jon Merendino,Jon Merendino,Inventory,No,"$1,399.00",Eaches,PX4-5851-E7V2,Myriad 360,PX4-5851-E7V2,,,,,,,,,,,,,,Average,UPS-PDUs,144502,,,,,,,,,,,,
C3WG36RL-5CJE2MT2,Myriad 360,"C3WG36RL-5CJE2MT2 SWITCHED 415V 3PH 18XC13 18XCX
WYE L-N /30A NEMA L22-30P 0U",PDUs,Jon Merendino,Jon Merendino,Inventory,No,"$1,399.00",Eaches,C3WG36RL-5CJE2MT2,Myriad 360,C3WG36RL-5CJE2MT2,,,,,,,,,,,,,,Average,UPS-PDUs,144502,,,,,,,,,,,,
CAB-TPT6-SB4,Central Computer,CAT6 Straight Patch 550MHz UTP 24AWG Cable 2ft Green,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$2.95,Eaches,CAB-TPT6-SB4,Central Computer,CAB-TPT6-SB4,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CAB-TPT6-SC4,Central Computer,CAT6 Straight Patch 550MHz UTP 24AWG Cable 3ft Green,Cabling,Jon Merendino,Swapnil Kale,Inventory,No,$3.50,Eaches,CAB-TPT6-SC4,Central Computer,CAB-TPT6-SC4,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
CBL-00100,Arista,Arista cable 1X CBL-00100 REV.A1 1X CBL-00002 REV.A0 and 2X Power cords,Cabling,Jon Merendino,Jon Merendino,Inventory,No,$25.00,Eaches,CBL-00100,Arista,CBL-00100,,,,,,,,,,,,EAR99,8544.42.2000,Average,Cabinets-Cages-Security,144502,,,,,,,,,,,,
781-S23N0Z+P3CMI36,NVIDIA Corporation,"NVIDIA ENT Business Standard Support Services for SN2201
Series - 36.0 Months",Support,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,$288.00,Eaches,781-S23N0Z+P3CMI36,NVIDIA Corporation,781-S23N0Z+P3CMI36,7,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
781-S37N0Z+P2CMI36,NVIDIA Corporation,"NVIDIA ENT Business Standard Support Services for SN3700_CL - 36.0
Months",Support,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$1,324.00",Eaches,781-S37N0Z+P2CMI36,NVIDIA Corporation,781-S37N0Z+P2CMI36,7,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
790-SN9N0Z+P2CMI36,NVIDIA Corporation,NVIDIA ENT Business Standard Support Services for QM9790,Support,Jon Merendino,Brittany Ola'Dehinbo,Non-Inventory Item,No,"$2,814.00",Eaches,790-SN9N0Z+P2CMI36,NVIDIA Corporation,790-SN9N0Z+P2CMI36,7,,,,,,,,,,,,,,,131000,,,,,,,,,,,,
